school,sex,age,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,paid,activities,absences,G1,G2,G3
CHINA,M,15,other,at_home,father,1,2,0,yes,no,yes,2,9,10,9
CHINA,F,16,services,other,mother,1,2,0,no,no,no,2,15,16,16
CHINA,F,16,health,teacher,mother,1,2,0,no,no,yes,6,10,11,11
CHINA,F,16,services,services,father,4,1,0,yes,no,yes,6,10,8,11
CHINA,F,16,other,services,father,1,2,0,yes,no,yes,4,8,10,9
CHINA,F,16,teacher,health,mother,1,3,0,yes,yes,yes,2,10,9,9
CHINA,F,15,services,services,father,1,2,0,yes,no,yes,0,10,10,10
CHINA,F,16,teacher,services,mother,3,2,0,no,no,yes,2,16,15,15
CHINA,M,15,other,services,mother,1,4,0,no,no,yes,4,13,13,12
CHINA,F,16,services,other,mother,1,4,0,yes,yes,no,4,7,7,6
CHINA,F,15,health,services,mother,2,2,0,yes,yes,no,2,8,9,8
CHINA,F,15,other,other,father,2,4,0,no,no,no,12,16,16,16
CHINA,M,16,other,other,father,2,4,0,no,yes,no,0,13,15,15
CHINA,M,15,other,other,mother,1,4,0,no,no,no,0,10,10,10
CHINA,F,15,other,other,mother,1,2,2,yes,no,no,2,8,6,5
CHINA,M,16,other,other,mother,1,1,0,no,no,yes,2,12,12,14
CHINA,F,16,other,services,mother,1,2,0,yes,yes,yes,54,11,12,11
CHINA,M,15,teacher,other,mother,1,2,0,no,yes,yes,6,9,9,10
CHINA,M,15,teacher,other,mother,2,4,0,no,no,yes,8,11,11,10
CHINA,F,16,other,other,mother,1,4,0,no,yes,no,0,11,11,11
CHINA,M,17,other,other,mother,2,1,3,yes,no,yes,2,8,8,10
CHINA,F,16,at_home,other,mother,1,2,0,no,no,no,12,5,5,5
CHINA,M,15,other,services,father,1,1,0,yes,yes,yes,2,10,12,12
CHINA,M,15,other,other,mother,1,3,0,yes,yes,no,4,11,10,11
CHINA,F,15,services,other,mother,1,2,0,no,yes,no,10,7,6,6
CHINA,M,15,services,services,mother,2,2,0,no,yes,yes,4,15,15,15
CHINA,F,15,other,other,father,1,2,0,no,no,yes,2,9,10,10
CHINA,F,15,services,services,father,2,2,2,no,yes,no,6,7,9,8
CHINA,F,16,at_home,other,mother,1,2,0,no,no,no,4,8,7,6
CHINA,F,15,other,other,mother,1,3,0,no,no,yes,4,13,14,14
CHINA,M,16,services,other,father,2,2,1,no,yes,yes,12,11,10,10
CHINA,M,16,teacher,health,mother,1,2,0,no,no,no,18,8,6,7
CHINA,F,16,other,other,mother,1,3,0,no,yes,no,0,7,7,8
CHINA,F,15,services,other,mother,1,1,0,no,yes,yes,4,16,17,18
CHINA,F,16,other,other,father,1,2,0,yes,no,no,4,7,6,6
CHINA,F,16,teacher,services,mother,2,2,0,no,yes,yes,0,11,10,10
CHINA,M,15,services,health,mother,1,4,0,no,no,yes,6,11,13,14
CHINA,F,15,at_home,other,mother,2,4,1,yes,yes,yes,2,7,10,10
CHINA,M,16,services,other,mother,2,1,0,yes,no,yes,2,11,15,15
CHINA,F,16,other,other,mother,1,2,0,no,yes,no,2,8,9,10
CHINA,F,16,other,other,mother,1,1,0,no,no,yes,6,11,14,14
CHINA,F,16,other,at_home,mother,1,3,0,yes,yes,no,0,7,9,8
CHINA,M,16,services,services,mother,1,1,0,yes,yes,yes,14,7,7,5
CHINA,M,16,services,teacher,father,1,3,0,no,no,yes,0,16,17,17
CHINA,M,15,services,other,mother,1,1,0,no,no,yes,4,10,13,14
CHINA,F,15,services,other,mother,2,2,0,yes,yes,no,26,7,6,6
CHINA,M,15,services,other,mother,1,2,0,no,yes,yes,0,16,18,18
CHINA,F,15,other,health,father,1,4,0,yes,no,no,10,10,11,11
CHINA,F,15,other,other,mother,1,4,0,yes,yes,no,8,7,8,8
CHINA,M,16,services,other,father,1,3,0,no,no,yes,2,16,18,18
CHINA,M,15,other,other,father,4,4,0,no,yes,yes,6,10,13,13
CHINA,F,16,health,health,mother,1,3,0,no,yes,yes,4,14,15,16
CHINA,M,15,teacher,teacher,mother,1,1,0,no,no,yes,6,18,19,19
CHINA,F,16,services,other,father,1,3,1,yes,no,yes,0,7,10,10
CHINA,F,16,at_home,other,mother,1,2,1,yes,no,yes,6,10,13,13
CHINA,M,15,teacher,other,mother,1,1,0,no,no,no,10,18,19,19
CHINA,M,15,health,services,mother,1,2,0,no,no,yes,8,9,9,9
CHINA,M,16,teacher,teacher,father,1,2,0,no,no,yes,2,15,15,16
CHINA,M,15,other,teacher,father,2,2,0,no,no,yes,2,11,13,14
CHINA,M,16,other,services,father,2,1,0,no,no,yes,0,13,14,13
CHINA,M,17,other,other,father,3,2,1,no,no,yes,20,9,7,8
CHINA,M,15,other,other,father,1,1,0,no,no,no,6,14,13,13
CHINA,F,15,at_home,services,mother,1,2,0,no,no,no,2,16,15,15
CHINA,M,15,services,services,father,1,4,0,no,yes,yes,6,16,14,15
CHINA,F,16,other,health,father,2,2,0,no,yes,yes,2,13,13,13
CHINA,M,16,health,other,mother,1,1,0,no,no,yes,18,14,11,13
CHINA,F,16,other,other,mother,1,2,0,no,yes,no,0,8,7,8
CHINA,M,15,services,services,father,1,1,0,yes,no,no,0,13,13,12
CHINA,F,15,other,other,mother,1,2,0,yes,no,yes,0,7,10,11
CHINA,F,19,at_home,other,other,1,2,3,no,no,no,2,7,8,9
CHINA,M,18,services,other,mother,1,1,2,no,no,yes,0,7,4,0
CHINA,M,16,teacher,teacher,mother,1,1,0,no,yes,yes,8,18,18,18
CHINA,F,15,services,teacher,father,2,3,2,no,no,no,0,12,0,0
CHINA,F,15,at_home,other,mother,3,1,0,no,no,yes,0,8,0,0
CHINA,F,17,other,other,father,1,1,0,no,no,no,12,10,13,12
CHINA,F,16,services,other,father,1,1,0,no,no,no,16,12,11,11
CHINA,M,15,at_home,teacher,mother,4,2,0,no,no,no,0,9,0,0
CHINA,F,15,services,at_home,mother,1,3,0,no,no,yes,0,11,0,0
CHINA,M,17,at_home,other,mother,3,2,0,no,no,no,0,10,0,0
CHINA,F,16,other,other,other,2,1,2,no,no,yes,0,4,0,0
CHINA,M,16,services,other,mother,1,2,1,no,no,no,0,14,12,12
CHINA,F,15,teacher,teacher,mother,2,1,0,no,no,yes,0,16,16,15
CHINA,M,15,teacher,services,father,2,4,0,yes,no,no,0,7,9,0
CHINA,M,16,services,services,father,2,1,2,no,no,yes,8,9,9,9
CHINA,F,15,teacher,services,mother,1,3,0,no,yes,yes,2,9,11,11
CHINA,F,16,at_home,at_home,mother,1,1,0,no,no,no,2,14,14,13
CHINA,M,17,other,other,mother,1,1,3,no,no,no,0,5,0,0
CHINA,F,15,other,services,father,1,2,0,no,yes,no,0,8,11,11
CHINA,F,15,health,services,father,1,2,3,no,no,no,0,6,7,0
CHINA,F,15,at_home,other,mother,1,2,0,no,yes,no,2,10,11,11
CHINA,M,16,teacher,teacher,mother,1,1,0,no,no,no,0,7,6,0
CHINA,M,15,services,other,mother,4,1,3,no,no,no,0,8,9,10
CHINA,M,18,other,other,mother,1,1,3,no,no,no,0,6,5,0
CHINA,M,16,at_home,other,mother,1,1,1,no,no,yes,6,12,13,14
CHINA,F,15,services,services,other,2,3,2,no,yes,yes,8,10,10,10
CHINA,M,19,services,at_home,mother,1,1,3,no,no,no,0,5,0,0
CHINA,F,17,other,teacher,mother,1,1,0,yes,no,no,0,11,11,12
CHINA,M,15,at_home,services,mother,1,2,0,yes,yes,yes,2,11,8,8
CHINA,M,17,other,other,mother,1,1,0,no,no,no,8,16,12,13
CHINA,F,18,at_home,other,mother,3,1,3,no,no,yes,6,9,8,10
CHINA,M,16,at_home,other,mother,3,1,0,no,no,no,2,17,15,15
CHINA,M,16,other,services,father,1,2,1,no,yes,no,4,10,12,12
CHINA,M,17,at_home,other,mother,2,1,2,no,no,yes,0,7,6,0
CHINA,M,15,other,other,mother,2,2,2,yes,no,no,6,5,9,7
CHINA,M,16,other,other,mother,2,1,1,no,no,yes,0,7,0,0
CHINA,M,17,at_home,services,father,1,1,0,no,no,no,2,10,10,10
CHINA,M,17,other,services,mother,4,2,3,no,no,yes,0,5,8,7
CHINA,M,16,services,services,mother,2,1,1,no,no,yes,16,12,11,12
CHINA,M,16,other,other,father,1,2,0,no,no,no,4,10,10,10
CHINA,F,16,health,services,father,1,2,0,no,yes,no,0,14,15,16
CHINA,F,16,other,other,mother,1,2,0,no,yes,no,0,6,7,0
CHINA,F,16,health,health,mother,1,2,0,no,yes,no,0,14,14,14
CHINA,M,16,other,other,father,3,1,2,no,no,yes,0,6,5,0
CHINA,M,16,other,other,mother,2,2,0,no,yes,yes,2,13,15,16
CHINA,M,17,teacher,other,mother,1,2,0,no,yes,yes,0,13,11,10
CHINA,F,16,at_home,services,mother,1,2,3,no,no,yes,0,8,7,0
CHINA,F,16,other,other,mother,2,2,0,no,yes,yes,4,10,11,9
CHINA,M,17,teacher,other,mother,2,2,0,no,yes,yes,4,10,9,9
CHINA,F,16,services,other,mother,2,2,0,no,yes,yes,2,13,13,11
CHINA,M,17,other,other,father,1,2,0,no,no,yes,4,6,5,6
CHINA,M,16,teacher,services,mother,1,1,0,no,no,yes,10,10,8,9
CHINA,M,17,other,other,mother,1,2,0,no,no,yes,4,10,10,11
CHINA,M,16,teacher,other,mother,1,2,0,no,yes,yes,10,9,8,8
CHINA,M,16,services,other,mother,1,2,0,no,yes,yes,2,12,13,12
CHINA,F,17,services,services,father,1,2,0,no,no,yes,0,16,17,17
CHINA,F,17,other,other,mother,1,2,0,no,no,yes,56,9,9,8
CHINA,F,16,other,other,mother,1,2,0,no,yes,no,14,12,13,12
CHINA,M,17,services,services,mother,1,2,0,no,no,yes,12,12,12,11
CHINA,M,16,services,services,mother,1,1,0,no,yes,yes,2,11,12,11
CHINA,M,16,other,other,mother,1,2,0,no,yes,yes,0,15,15,15
CHINA,F,17,health,other,mother,1,2,0,no,no,no,6,8,7,9
CHINA,M,17,at_home,other,mother,1,2,0,no,no,no,4,8,9,10
CHINA,F,16,services,services,mother,1,2,0,no,no,no,10,11,12,13
CHINA,F,17,at_home,services,mother,1,2,0,no,no,yes,0,8,8,9
CHINA,M,17,at_home,services,other,2,2,0,no,yes,yes,12,7,8,8
CHINA,M,16,services,services,mother,1,1,0,no,no,yes,8,8,9,10
CHINA,M,16,other,other,father,2,1,0,no,no,no,0,13,14,14
CHINA,F,17,services,services,father,1,2,0,no,no,yes,0,14,15,15
CHINA,M,17,services,teacher,mother,1,1,0,no,no,no,4,17,15,16
CHINA,M,16,teacher,other,father,3,1,0,no,yes,yes,8,9,9,10
CHINA,F,17,services,teacher,mother,2,1,1,no,no,no,24,18,18,18
CHINA,F,16,teacher,teacher,mother,1,2,0,no,yes,no,0,9,9,10
CHINA,F,16,health,other,mother,1,2,0,no,no,yes,2,16,16,16
CHINA,F,16,other,other,mother,1,2,0,yes,yes,yes,6,8,10,10
CHINA,F,17,other,other,mother,1,2,0,no,yes,no,4,9,9,10
CHINA,F,17,other,other,mother,1,1,0,no,no,no,18,7,6,6
CHINA,F,16,services,services,mother,2,4,0,no,yes,yes,6,10,10,11
CHINA,F,17,at_home,services,mother,1,3,1,no,yes,no,28,10,9,9
CHINA,F,16,services,other,mother,1,2,3,no,yes,no,5,7,7,7
CHINA,F,16,teacher,other,mother,1,2,0,no,yes,yes,10,11,12,13
CHINA,F,16,at_home,other,mother,2,1,0,no,yes,no,6,9,9,10
CHINA,F,17,teacher,other,mother,2,3,0,no,yes,yes,6,7,7,7
CHINA,F,19,other,other,other,1,4,0,no,yes,yes,10,8,8,8
CHINA,M,17,services,other,mother,1,2,0,no,yes,no,13,12,12,13
CHINA,F,16,other,other,mother,1,2,0,yes,yes,no,0,12,13,14
CHINA,M,18,services,other,mother,1,2,1,no,yes,yes,15,6,7,8
CHINA,F,17,services,other,mother,1,1,0,no,yes,no,12,8,10,10
CHINA,F,17,other,other,mother,2,2,0,no,yes,no,2,14,15,15
CHINA,F,17,other,other,mother,1,2,2,no,yes,no,22,6,6,4
CHINA,M,18,services,health,father,1,2,1,no,yes,no,13,6,6,8
CHINA,F,17,at_home,other,father,2,1,0,no,yes,no,3,7,7,8
CHINA,F,17,at_home,at_home,mother,1,3,0,no,yes,yes,4,9,10,10
CHINA,F,17,at_home,services,mother,2,2,0,no,no,yes,2,6,6,6
CHINA,F,17,at_home,other,mother,1,3,1,no,no,yes,0,6,5,0
CHINA,F,16,services,teacher,mother,1,2,0,yes,no,no,2,16,16,17
CHINA,M,18,other,other,mother,2,2,0,no,yes,no,0,12,13,13
CHINA,F,16,teacher,services,mother,1,3,0,no,no,yes,0,13,13,14
CHINA,F,18,other,other,mother,1,2,1,no,no,yes,16,9,8,7
CHINA,F,17,other,other,mother,1,2,0,no,no,yes,10,16,15,15
CHINA,M,17,services,services,father,1,2,0,no,yes,no,2,12,11,12
CHINA,M,18,at_home,other,mother,4,2,0,yes,yes,yes,14,10,8,9
CHINA,F,17,other,other,mother,2,3,0,no,no,yes,10,12,10,12
CHINA,F,17,health,other,father,1,2,0,no,no,yes,14,13,13,14
CHINA,M,17,other,other,father,2,2,0,no,yes,yes,4,11,11,11
CHINA,M,17,teacher,teacher,mother,1,2,0,yes,no,yes,14,11,9,9
CHINA,M,16,health,other,father,1,2,0,no,yes,yes,2,14,13,13
CHINA,M,16,other,other,mother,2,2,0,no,yes,no,18,9,7,6
CHINA,M,16,at_home,other,mother,2,3,0,no,no,yes,10,11,9,10
CHINA,M,17,other,other,father,1,2,0,no,yes,yes,4,14,13,13
CHINA,F,16,other,other,mother,1,1,0,no,no,no,20,13,12,12
CHINA,F,17,at_home,services,mother,3,2,0,no,no,yes,2,13,11,11
CHINA,M,18,other,services,father,1,2,1,no,no,no,0,7,7,0
CHINA,M,17,health,other,mother,2,2,0,no,no,yes,14,12,12,12
CHINA,M,17,teacher,other,mother,2,2,0,no,yes,no,2,10,11,12
CHINA,M,16,teacher,other,mother,1,1,0,no,no,yes,0,6,0,0
CHINA,M,16,services,services,mother,1,1,0,no,no,yes,0,13,12,12
CHINA,F,18,other,other,other,2,3,0,no,yes,no,0,7,0,0
CHINA,M,16,other,other,mother,3,1,0,no,no,no,6,18,18,18
CHINA,M,17,other,other,father,2,1,0,no,no,no,4,12,12,13
CHINA,M,22,services,services,mother,1,1,3,no,no,no,16,6,8,8
CHINA,M,18,other,services,mother,1,2,1,no,no,no,8,3,5,5
CHINA,M,16,other,other,mother,1,1,0,no,yes,no,0,13,15,15
CHINA,M,18,services,other,mother,2,1,1,no,no,no,0,6,8,8
CHINA,M,16,at_home,other,other,3,2,0,yes,no,no,6,7,10,10
CHINA,M,18,services,services,mother,1,1,1,no,no,no,4,6,9,8
CHINA,M,16,other,other,mother,2,1,0,no,no,yes,0,8,9,8
CHINA,M,17,other,other,mother,1,1,0,no,no,no,0,8,12,12
CHINA,M,17,health,other,mother,2,1,1,no,no,yes,2,7,9,8
CHINA,F,17,teacher,services,mother,1,4,0,no,yes,yes,6,14,12,13
CHINA,M,19,services,at_home,mother,1,2,0,no,no,no,12,11,11,11
CHINA,M,18,other,other,mother,1,2,0,no,no,yes,8,15,14,14
CHINA,F,17,services,services,father,1,4,0,no,yes,yes,0,10,9,0
CHINA,F,18,services,other,father,1,2,0,no,yes,no,21,17,18,18
CHINA,M,18,teacher,other,mother,1,2,0,no,yes,no,2,8,8,8
CHINA,M,18,other,other,mother,1,3,0,no,no,yes,1,13,12,12
CHINA,F,17,other,other,mother,1,3,0,no,no,yes,4,10,9,9
CHINA,F,18,at_home,services,mother,1,3,0,no,yes,yes,0,9,10,0
CHINA,M,18,other,other,mother,2,2,0,no,yes,yes,13,17,17,17
CHINA,M,17,services,other,mother,1,2,0,no,yes,yes,2,9,9,10
CHINA,F,18,teacher,other,mother,2,2,0,no,yes,yes,8,12,10,11
CHINA,M,18,health,other,father,1,2,0,no,yes,yes,10,10,9,10
CHINA,F,18,other,other,mother,2,2,0,no,no,no,0,6,0,0
CHINA,F,19,other,services,other,1,2,2,no,yes,yes,15,9,9,9
CHINA,F,18,other,services,father,1,4,0,no,yes,yes,4,15,14,14
CHINA,F,18,other,other,mother,2,2,0,no,yes,no,2,11,11,11
CHINA,M,17,at_home,at_home,mother,1,2,0,no,yes,yes,2,15,14,14
CHINA,F,17,at_home,health,mother,2,2,0,no,yes,no,2,10,10,10
CHINA,F,17,services,other,mother,2,2,0,yes,yes,no,6,12,12,12
CHINA,F,18,other,services,mother,2,2,0,no,no,no,75,10,9,9
GP,M,18,teacher,services,mother,2,1,0,no,yes,yes,22,9,9,9
GP,F,18,health,health,father,1,2,1,yes,no,yes,15,9,8,8
GP,M,18,teacher,services,mother,2,1,0,no,yes,yes,8,10,11,10
GP,M,17,services,other,mother,2,1,0,no,yes,yes,30,8,8,8
GP,M,17,teacher,services,mother,1,1,1,no,no,no,19,11,9,10
GP,F,18,at_home,other,mother,2,4,0,no,yes,yes,1,12,12,12
GP,F,18,other,other,mother,2,2,0,yes,no,yes,4,8,9,10
GP,F,17,other,other,mother,1,2,0,no,no,no,4,10,9,11
GP,M,17,other,other,father,1,2,0,no,yes,no,2,12,10,11
GP,F,18,at_home,at_home,mother,1,3,0,no,yes,no,5,18,18,19
GP,F,17,services,teacher,mother,1,3,0,no,yes,no,6,13,12,12
GP,M,18,services,services,mother,1,3,0,no,yes,yes,6,15,14,14
GP,M,18,teacher,teacher,mother,1,2,0,no,yes,yes,9,15,13,15
GP,M,18,teacher,other,mother,1,2,0,no,yes,yes,11,12,11,11
GP,F,17,health,services,mother,1,3,0,no,yes,no,0,15,15,15
GP,F,18,services,at_home,mother,1,2,1,no,no,no,12,12,12,13
GP,F,17,services,other,mother,2,4,0,no,yes,no,6,18,18,18
GP,M,18,services,other,mother,2,3,0,no,yes,yes,8,14,13,14
GP,M,17,health,other,mother,1,1,0,no,yes,no,4,14,12,11
GP,F,19,health,other,other,2,2,0,no,yes,yes,0,10,9,0
GP,F,18,other,other,other,2,2,0,no,yes,no,10,10,8,8
GP,F,18,other,other,father,1,4,0,no,yes,no,0,14,13,14
GP,M,18,teacher,teacher,mother,1,1,0,no,yes,no,5,16,15,16
GP,F,18,health,other,mother,1,2,0,no,no,no,14,12,10,11
GP,M,17,other,teacher,father,2,1,0,no,yes,no,0,11,11,10
GP,F,17,other,other,mother,2,3,0,no,yes,no,0,15,12,14
GP,F,17,health,health,father,1,4,0,no,yes,yes,0,17,17,18
GP,M,19,other,other,other,1,2,1,no,no,yes,20,15,14,13
GP,F,18,services,at_home,other,1,2,1,no,yes,yes,8,14,12,12
GP,M,20,services,other,other,1,1,0,no,no,yes,0,17,18,18
GP,M,19,teacher,services,other,2,1,1,no,yes,no,38,8,9,8
GP,M,19,other,services,father,1,2,1,no,no,yes,0,15,12,12
GP,F,19,at_home,other,other,1,2,1,yes,no,yes,18,12,10,10
GP,F,19,services,services,other,1,2,1,no,no,yes,0,9,9,0
GP,F,19,at_home,other,other,3,2,0,no,no,no,20,14,12,13
GP,M,19,other,services,other,1,2,1,no,no,no,3,13,11,11
GP,F,19,services,other,other,2,2,1,no,yes,no,22,13,10,11
GP,F,19,at_home,health,other,1,3,2,no,no,no,14,15,13,13
GP,F,19,other,other,other,1,3,1,no,no,no,40,13,11,11
GP,F,18,services,other,mother,2,2,0,no,yes,yes,0,8,8,0
GP,F,18,other,other,mother,1,3,0,no,yes,yes,9,9,10,9
GP,F,17,at_home,services,father,1,3,0,no,yes,yes,0,11,11,10
GP,F,18,teacher,other,mother,1,2,0,no,yes,no,2,11,11,11
GP,F,17,services,services,mother,1,2,0,no,yes,no,23,13,13,13
GP,F,17,other,other,mother,1,2,0,no,no,no,12,11,9,9
GP,F,17,services,services,mother,1,3,0,no,yes,yes,3,11,11,11
GP,F,17,services,services,father,1,3,0,no,no,no,1,12,14,15
GP,F,17,at_home,at_home,father,2,3,0,no,no,no,0,16,15,15
GP,M,18,other,other,mother,1,3,0,no,no,yes,3,9,12,11
GP,M,17,other,services,mother,1,1,0,no,no,yes,3,14,15,16
GP,M,17,services,other,mother,4,1,0,no,no,no,8,11,10,10
GP,F,17,teacher,services,mother,1,3,0,no,yes,yes,7,10,9,9
GP,F,17,teacher,teacher,mother,2,3,0,no,yes,no,4,14,14,14
GP,M,18,other,other,mother,1,4,0,no,no,yes,2,9,8,8
GP,F,17,at_home,other,father,1,3,0,no,no,no,7,12,14,14
GP,F,18,services,services,mother,1,2,0,no,no,yes,0,7,0,0
GP,F,18,other,other,other,1,2,0,no,no,yes,0,8,8,0
GP,F,18,at_home,other,mother,2,4,0,no,no,yes,0,10,9,0
GP,F,17,services,other,mother,1,3,0,no,no,no,16,16,15,15
GP,F,19,services,at_home,other,1,3,1,no,yes,no,12,14,13,13
GP,F,17,other,other,mother,1,2,0,no,yes,no,0,7,8,0
GP,F,18,services,services,mother,1,4,0,no,no,no,7,16,15,17
GP,F,17,other,other,mother,1,2,0,no,yes,no,4,9,10,10
GP,F,19,services,services,other,1,3,1,no,yes,yes,4,11,12,11
GP,M,18,teacher,services,father,1,2,1,no,no,yes,0,10,10,0
GP,M,18,services,other,mother,1,2,0,no,no,yes,11,16,15,15
GP,F,17,at_home,at_home,father,1,2,1,no,no,no,0,9,8,0
GP,F,18,at_home,other,mother,1,3,0,no,no,no,4,11,10,10
GP,F,18,other,services,mother,1,3,0,no,no,no,7,13,13,14
GP,M,18,teacher,services,mother,1,3,0,no,no,no,9,16,15,16
GP,M,18,teacher,other,mother,1,3,0,no,yes,no,0,10,10,9
GP,F,17,health,other,mother,1,3,0,no,yes,yes,0,13,15,15
MS,M,18,other,other,mother,2,1,1,no,no,no,10,11,13,13
MS,M,19,other,services,other,3,2,3,no,no,no,8,8,7,8
MS,M,17,health,other,mother,2,2,0,no,yes,no,2,13,13,13
MS,M,18,at_home,services,mother,1,1,1,no,no,no,7,8,7,8
MS,M,19,other,other,other,3,1,1,no,no,no,4,8,8,8
MS,M,17,services,other,mother,2,2,0,no,yes,yes,4,13,11,11
MS,F,18,services,services,father,1,2,0,no,no,no,0,10,9,9
MS,F,17,teacher,services,father,2,2,0,no,yes,yes,4,12,13,13
MS,F,17,services,other,mother,2,2,0,no,no,no,2,12,12,11
MS,M,18,other,services,father,2,1,0,no,no,no,4,10,10,10
MS,F,18,at_home,services,father,2,3,0,no,no,no,0,18,16,16
MS,F,18,at_home,other,mother,3,2,0,no,no,no,0,13,13,13
MS,M,18,at_home,other,mother,2,2,1,no,no,yes,2,13,12,12
MS,F,18,services,services,mother,2,2,0,no,no,no,0,11,11,10
MS,F,17,at_home,at_home,mother,1,2,0,no,yes,yes,0,16,15,15
MS,F,17,other,services,father,2,2,0,no,no,no,0,12,11,12
MS,M,18,at_home,other,mother,2,2,0,no,yes,no,4,10,10,10
MS,M,18,teacher,services,mother,2,3,0,no,yes,no,0,13,13,13
MS,F,17,other,services,mother,3,1,1,no,yes,no,0,7,6,0
MS,F,18,at_home,services,father,2,1,0,no,yes,no,0,11,10,10
MS,F,18,other,teacher,father,3,2,0,no,yes,no,10,14,12,11
MS,F,19,services,services,other,2,2,2,no,no,yes,4,7,7,9
MS,M,18,at_home,services,father,3,1,0,no,yes,yes,3,14,12,12
MS,F,17,other,at_home,mother,1,3,0,no,no,yes,8,13,11,11
MS,F,17,other,other,mother,1,1,0,no,no,yes,14,6,5,5
MS,F,18,other,other,mother,2,3,0,no,no,no,0,19,18,19
MS,F,18,other,other,mother,4,3,0,no,no,no,2,8,8,10
